"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/25/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","16.41","debit","Music","Checking","",""
"11/19/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","6.10","debit","Gym","Checking","",""
"11/10/2023","POS PURCH - Lucid Software I 5817               UT 844-4658243     Lucid Software Inc.US","POS PURCH - Lucid Software I 5817               UT 844-4658243     Lucid Software Inc.US","36.05","debit","Electronics & Software","Checking","",""
"11/05/2023","Www Samharris Or","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","3.00","debit","Uncategorized","Checking","",""
"11/05/2023","Climb Nashville, LLC","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","92.86","debit","Gym","Checking","",""
"11/03/2023","Spotify","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","12.03","debit","Music","Checking","",""
"11/02/2023","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","4000.00","credit","Transfer","Savings","",""
"11/02/2023","TRANS - ALLIANT CU ;110123;XFER","ACH TRANS - ALLIANT CU      ;110123;XFER","675.00","debit","Transfer","Checking","",""
"11/02/2023","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","4000.00","debit","Transfer","Checking","",""
"11/02/2023","TRANS - USAA P&C ;110223;AUTOPAY","ACH TRANS - USAA P&C        ;110223;AUTOPAY","103.48","debit","Bills & Utilities","Checking","",""
"11/01/2023","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","8.46","debit","Entertainment","Checking","",""
"11/01/2023","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","45.00","credit","Transfer","Checking","",""
"10/31/2023","DIVIDEND","DIVIDEND","32.03","credit","Investments","Savings","",""
"10/31/2023","DIVIDEND","DIVIDEND","17.28","credit","Investments","Savings","",""
"10/30/2023","POS PURCH - FANDANGO         7832               CA FANDANGO.COM    FANDANGO           US","POS PURCH - FANDANGO         7832               CA FANDANGO.COM    FANDANGO           US","48.27","debit","Movies & DVDs","Checking","",""
"10/30/2023","ACH TRANS - HCA Corporate   ;103123;PR PAYMENT","ACH TRANS - HCA Corporate   ;103123;PR PAYMENT","4645.42","credit","Paycheck","Checking","",""
"10/30/2023","POS PURCH - Audible*5U77H00X 5968               NJ Amzn.com/bill   Audible*5U77H00X3  US","POS PURCH - Audible*5U77H00X 5968               NJ Amzn.com/bill   Audible*5U77H00X3  US","16.37","debit","Books","Checking","",""
"10/28/2023","POS PURCH - GOOGLE *CLOUD Xv 7372               CA g.co/helppay#   GOOGLE *CLOUD Xv2GQUS","POS PURCH - GOOGLE *CLOUD Xv 7372               CA g.co/helppay#   GOOGLE *CLOUD Xv2GQUS","0.01","debit","Electronics & Software","Checking","",""
"10/28/2023","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","17.51","debit","Entertainment","Checking","",""
"10/25/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","16.41","debit","Music","Checking","",""
"10/25/2023","POS PURCH - BUTCHERBOX, LLC  5499               MA HTTPSWWW.BUTC   BUTCHERBOX  LLC    US","POS PURCH - BUTCHERBOX, LLC  5499               MA HTTPSWWW.BUTC   BUTCHERBOX  LLC    US","169.00","debit","Groceries","Checking","",""
"10/25/2023","ACH TRANS - CHASE CREDIT CRD;102523;AUTOPAY","ACH TRANS - CHASE CREDIT CRD;102523;AUTOPAY","3425.99","debit","Credit Card Payment","Checking","",""
"10/20/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","5.86","debit","Gym","Checking","",""
"10/18/2023","ACH TRANS - Mobile Deposit  ,101823,Check Dep","ACH TRANS - Mobile Deposit  ,101823,Check Dep","221.31","credit","Transfer","Checking","",""
"10/10/2023","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","36.05","debit","Electronics & Software","Checking","",""
"10/05/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","95.91","debit","Gym","Checking","",""
"10/05/2023","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","3.00","debit","Charity","Checking","",""
"10/04/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","12.03","debit","Music","Checking","",""
"10/03/2023","ACH TRANS - USAA P&C        ;100323;AUTOPAY","ACH TRANS - USAA P&C        ;100323;AUTOPAY","103.49","debit","Bills & Utilities","Checking","",""
"10/03/2023","ACH TRANS - ALLIANT CU      ;100223;XFER","ACH TRANS - ALLIANT CU      ;100223;XFER","675.00","debit","Transfer","Checking","",""
"10/01/2023","POS PURCH - Audible*T96KB083 5968               NJ Amzn.com/bill   Audible*T96KB0832  US","POS PURCH - Audible*T96KB083 5968               NJ Amzn.com/bill   Audible*T96KB0832  US","16.37","debit","Books","Checking","",""
"10/01/2023","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","8.46","debit","Entertainment","Checking","",""
"9/30/2023","DIVIDEND","DIVIDEND","13.95","credit","Investments","Savings","",""
"9/30/2023","DIVIDEND","DIVIDEND","30.97","credit","Investments","Savings","",""
"9/30/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","3.05","debit","Gym","Checking","",""
"9/30/2023","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","3500.00","debit","Transfer","Checking","",""
"9/30/2023","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","3500.00","credit","Transfer","Savings","",""
"9/28/2023","ACH TRANS - HCA Corporate   ;092923;PR PAYMENT","ACH TRANS - HCA Corporate   ;092923;PR PAYMENT","4508.00","credit","Paycheck","Checking","",""
"9/28/2023","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","17.51","debit","Entertainment","Checking","",""
"9/25/2023","POS PURCH - BUTCHERBOX, LLC  5499               MA HTTPSWWW.BUTC   BUTCHERBOX  LLC    US","POS PURCH - BUTCHERBOX, LLC  5499               MA HTTPSWWW.BUTC   BUTCHERBOX  LLC    US","169.00","debit","Groceries","Checking","",""
"9/25/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","16.41","debit","Music","Checking","",""
"9/18/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","5.86","debit","Gym","Checking","",""
"9/14/2023","Venmo","ACH TRANS - VENMO           ;091423;PAYMENT","290.00","debit","Venmo payment","Checking","",""
"9/11/2023","ACH TRANS - Card Rewards Poi;091123;P2C         ZZ*               *ZZ*               *230911","ACH TRANS - Card Rewards Poi;091123;P2C         ZZ*               *ZZ*               *230911","94.00","credit","Income","Checking","",""
"9/10/2023","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","36.05","debit","Electronics & Software","Checking","",""
"9/06/2023","Amazon","POS PURCH - Amazon Prime*TL0 5968               WA Amzn.com/bill   Amazon Prime*TL04Z7US","16.41","debit","Gift","Checking","",""
"9/05/2023","ACH TRANS - ALLIANT CU      ;090123;XFER","ACH TRANS - ALLIANT CU      ;090123;XFER","675.00","debit","Transfer","Checking","",""
"9/05/2023","ACH TRANS - USAA P&C        ;090523;AUTOPAY","ACH TRANS - USAA P&C        ;090523;AUTOPAY","103.49","debit","Bills & Utilities","Checking","",""
"9/05/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","92.86","debit","Gym","Checking","",""
"9/05/2023","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","3.00","debit","Charity","Checking","",""
"9/04/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","12.03","debit","Music","Checking","",""
"9/01/2023","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","0.44","debit","Transfer","Checking","",""
"9/01/2023","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","8.46","debit","Entertainment","Checking","",""
"9/01/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","29.49","debit","Gym","Checking","",""
"8/31/2023","DIVIDEND","DIVIDEND","14.30","credit","Investments","Savings","",""
"8/31/2023","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","0.14","credit","Income","Checking","",""
"8/31/2023","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","ACH TRANS - JPMorgan Chase  ;090123;ACCTVERIFY","0.30","credit","Income","Checking","",""
"8/31/2023","DIVIDEND","DIVIDEND","31.98","credit","Investments","Savings","",""
"8/30/2023","ACH TRANS - HCA Corporate   ;083123;PR PAYMENT","ACH TRANS - HCA Corporate   ;083123;PR PAYMENT","4645.41","credit","Paycheck","Checking","",""
"8/30/2023","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","12.47","debit","Air Travel","Checking","",""
"8/30/2023","Amazon","POS PURCH - AMZN Mktp US*T30 5942               WA Amzn.com/bill   AMZN Mktp US*T301S6US","15.84","debit","Gift","Checking","",""
"8/29/2023","POS PURCH - DALTS AMERICAN G 5812               TN NASHVILLE       DALTS AMERICAN GRILUS","POS PURCH - DALTS AMERICAN G 5812               TN NASHVILLE       DALTS AMERICAN GRILUS","10.93","debit","Restaurants","Checking","",""
"8/29/2023","POS PURCH - KROGER #843      5411               TN NASHVILLE       4560 HARDING RD.   US","POS PURCH - KROGER #843      5411               TN NASHVILLE       4560 HARDING RD.   US","89.70","debit","Groceries","Checking","",""
"8/29/2023","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","40.00","credit","Transfer","Checking","",""
"8/28/2023","POS PURCH - SP TIMEX.COM     5944               CT HTTPSTIMEX.CO   SP TIMEX.COM       US","POS PURCH - SP TIMEX.COM     5944               CT HTTPSTIMEX.CO   SP TIMEX.COM       US","54.57","debit","Clothing","Checking","",""
"8/28/2023","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","17.51","debit","Entertainment","Checking","",""
"8/28/2023","POS PURCH - PORTA VIA        5812               TN 615-3560001     PORTA VIA          US","POS PURCH - PORTA VIA        5812               TN 615-3560001     PORTA VIA          US","52.07","debit","Restaurants","Checking","",""
"8/27/2023","POS PURCH - MARKET FRESH PRO 5411               TN FOREST HILLS    MARKET FRESH PRODUCUS","POS PURCH - MARKET FRESH PRO 5411               TN FOREST HILLS    MARKET FRESH PRODUCUS","27.41","debit","Groceries","Checking","",""
"8/27/2023","POS PURCH - PAR*SMOOTHIE KIN 5814               TN NASHVILLE       PAR*SMOOTHIE KING SUS","POS PURCH - PAR*SMOOTHIE KIN 5814               TN NASHVILLE       PAR*SMOOTHIE KING SUS","19.62","debit","Food & Dining","Checking","",""
"8/27/2023","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","17.34","debit","Restaurants","Checking","",""
"8/26/2023","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       ONE APPLE PARK WAY US","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       ONE APPLE PARK WAY US","0.99","debit","Electronics & Software","Checking","",""
"8/26/2023","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","6.99","debit","Pharmacy","Checking","",""
"8/25/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","16.41","debit","Music","Checking","",""
"8/23/2023","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","6.42","debit","Air Travel","Checking","",""
"8/23/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","3.05","debit","Gym","Checking","",""
"8/20/2023","POS PURCH - SHELL SERVICE ST 5542               TN NASHVILLE       SHELL SERVICE STATIUS","POS PURCH - SHELL SERVICE ST 5542               TN NASHVILLE       SHELL SERVICE STATIUS","26.95","debit","Gas & Fuel","Checking","",""
"8/20/2023","POS PURCH - CIRCLE K # 03617 5541               TN MONTEAGLE       CIRCLE K # 03617   US","POS PURCH - CIRCLE K # 03617 5541               TN MONTEAGLE       CIRCLE K # 03617   US","3.73","debit","Gas & Fuel","Checking","",""
"8/20/2023","POS PURCH - MARKET FRESH PRO 5411               TN FOREST HILLS    MARKET FRESH PRODUCUS","POS PURCH - MARKET FRESH PRO 5411               TN FOREST HILLS    MARKET FRESH PRODUCUS","27.49","debit","Groceries","Checking","",""
"8/19/2023","POS PURCH - TRADER JOE S #73 5411               TN BELLAE MEADE    TRADER JOE S #73 TRUS","POS PURCH - TRADER JOE S #73 5411               TN BELLAE MEADE    TRADER JOE S #73 TRUS","66.10","debit","Groceries","Checking","",""
"8/18/2023","POS PURCH - PAYMENTUS CORP   5045               NC 980-272-3788    PAYMENTUS CORP     US","POS PURCH - PAYMENTUS CORP   5045               NC 980-272-3788    PAYMENTUS CORP     US","2.25","debit","Misc Expenses","Checking","",""
"8/18/2023","POS PURCH - NES1174729029231 4900               TN 615-736-6900    NES11747290292315  US","POS PURCH - NES1174729029231 4900               TN 615-736-6900    NES11747290292315  US","93.00","debit","Utilities","Checking","",""
"8/18/2023","POS PURCH - 10250D CAVA BELL 5812               TN 629-240-1575    10250D CAVA BELLE MUS","POS PURCH - 10250D CAVA BELL 5812               TN 629-240-1575    10250D CAVA BELLE MUS","12.18","debit","Restaurants","Checking","",""
"8/18/2023","POS PURCH - PAYMENTUS CORP   5045               NC 980-272-3788    PAYMENTUS CORP     US","POS PURCH - PAYMENTUS CORP   5045               NC 980-272-3788    PAYMENTUS CORP     US","2.25","debit","Misc Expenses","Checking","",""
"8/18/2023","POS PURCH - NES1174729029231 4900               TN 615-736-6900    NES11747290292314  US","POS PURCH - NES1174729029231 4900               TN 615-736-6900    NES11747290292314  US","132.00","debit","Utilities","Checking","",""
"8/17/2023","POS PURCH - SP HYPERLITE     5941               ME HTTPSHYPERLIT   SP HYPERLITE       US","POS PURCH - SP HYPERLITE     5941               ME HTTPSHYPERLIT   SP HYPERLITE       US","250.00","debit","Clothing","Checking","",""
"8/16/2023","ACH TRANS - SELECT RWDS PYMT;081623;PAYMENT","ACH TRANS - SELECT RWDS PYMT;081623;PAYMENT","5.00","debit","Utilities","Checking","",""
"8/16/2023","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","32.63","debit","Pharmacy","Checking","",""
"8/16/2023","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","5.12","debit","Air Travel","Checking","",""
"8/13/2023","POS PURCH - TST* McDougals C 5812               TN Nashville       TST* McDougals ChicUS","POS PURCH - TST* McDougals C 5812               TN Nashville       TST* McDougals ChicUS","17.38","debit","Restaurants","Checking","",""
"8/13/2023","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","POS PURCH - WALGREENS STORE  5912               TN NASHVILLE       WALGREENS STORE 530US","64.10","debit","Pharmacy","Checking","",""
"8/12/2023","POS PURCH - TRADER JOE S #73 5411               TN BELLAE MEADE    TRADER JOE S #73 TRUS","POS PURCH - TRADER JOE S #73 5411               TN BELLAE MEADE    TRADER JOE S #73 TRUS","95.02","debit","Groceries","Checking","",""
"8/12/2023","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","12.60","debit","Restaurants","Checking","",""
"8/11/2023","POS PURCH - Kindle Svcs*TA36 5818               WA 888-802-3080    Kindle Svcs*TA36C3IUS","POS PURCH - Kindle Svcs*TA36 5818               WA 888-802-3080    Kindle Svcs*TA36C3IUS","9.57","debit","Books","Checking","",""
"8/10/2023","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","36.05","debit","Electronics & Software","Checking","",""
"8/07/2023","POS PURCH - TRADER JOE S #66 5411               TN NASHVILLE       TRADER JOE S #66 TRUS","POS PURCH - TRADER JOE S #66 5411               TN NASHVILLE       TRADER JOE S #66 TRUS","71.78","debit","Groceries","Checking","",""
